City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,37.06,light rain,-54.8,-68.3,Albatross Hotel
2,Saint Andrews,US,69.53,clear sky,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
3,Orlik,RU,20.1,light snow,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
5,Takoradi,GH,81.54,light rain,4.8845,-1.7554,Raybow International Hotel
6,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Naze,JP,63.52,clear sky,28.3667,129.4833,Shishime Hotel
10,New Norfolk,AU,65.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
11,Busselton,AU,66.18,clear sky,-33.65,115.3333,Observatory Guest House
12,Chapais,CA,37.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
13,Cape Town,ZA,60.91,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Korla,CN,56.05,clear sky,41.7597,86.1469,Gulisitan Hotel
15,Tasiilaq,GL,21.36,overcast clouds,65.6145,-37.6368,The Red House
16,Punta Arenas,CL,37.51,scattered clouds,-53.15,-70.9167,Hotel Hain
18,Torbay,CA,35.58,few clouds,47.6666,-52.7314,Gallows Cove
19,West Wendover,US,60.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
20,Lebu,CL,53.19,clear sky,-37.6167,-73.65,Hostal Las Lilas
21,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
22,Bluff,NZ,58.37,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
23,Guerrero Negro,MX,62.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
24,Rajur,IN,85.39,scattered clouds,20.1167,78.9167,N D K Tea Point
26,Ellsworth,US,39.29,few clouds,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
27,Port Alfred,ZA,66.18,broken clouds,-33.5906,26.891,The Halyards Hotel
28,Tongchuan,CN,58.59,overcast clouds,35.0806,109.0897,Tongchuan Hotel
29,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Rikitea,PF,77.43,overcast clouds,-23.1203,-134.9692,People ThankYou
31,Castro,BR,63.57,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
32,Ponta Do Sol,PT,60.71,overcast clouds,32.6667,-17.1,Hotel do Campo
33,Briancon,FR,30.34,broken clouds,44.9,6.65,Auberge de la Paix
34,Ancud,CL,50.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
36,Los Llanos De Aridane,ES,55.15,clear sky,28.6585,-17.9182,Valle Aridane
37,Marawi,PH,75.74,overcast clouds,7.9986,124.2928,Derogongan Residence
38,Rio Gallegos,AR,41.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
