City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,0.91,86,100,3.24,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,37.06,93,40,21.85,light rain
2,Saint Andrews,US,34.0454,-81.1293,69.53,37,0,3.44,clear sky
3,Orlik,RU,52.5178,99.825,20.1,90,100,7.49,light snow
4,Zabol,AF,32.25,67.25,52.95,16,0,6.69,clear sky
5,Takoradi,GH,4.8845,-1.7554,81.54,86,71,10.18,light rain
6,Kapaa,US,22.0752,-159.319,82.38,74,40,18.41,scattered clouds
7,Provideniya,RU,64.3833,-173.3,10.51,67,0,15.99,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,75.54,96,100,5.01,overcast clouds
9,Naze,JP,28.3667,129.4833,63.52,51,0,12.33,clear sky
10,New Norfolk,AU,-42.7826,147.0587,65.91,65,58,2.35,broken clouds
11,Busselton,AU,-33.65,115.3333,66.18,62,10,15.82,clear sky
12,Chapais,CA,49.7834,-74.8492,37.18,89,100,5.39,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,60.91,80,20,8.05,few clouds
14,Korla,CN,41.7597,86.1469,56.05,22,0,5.39,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,7.9,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,37.51,81,40,4.61,scattered clouds
17,Beringovskiy,RU,63.05,179.3167,2.07,74,81,18.23,broken clouds
18,Torbay,CA,47.6666,-52.7314,35.58,86,20,28.77,few clouds
19,West Wendover,US,40.7391,-114.0733,60.01,9,0,8.05,clear sky
20,Lebu,CL,-37.6167,-73.65,53.19,76,0,20.58,clear sky
21,Kailua,US,21.4022,-157.7394,80.58,78,41,7.0,light rain
22,Bluff,NZ,-46.6,168.3333,58.37,71,42,7.05,scattered clouds
23,Guerrero Negro,MX,27.9769,-114.0611,62.22,62,0,15.3,clear sky
24,Rajur,IN,20.1167,78.9167,85.39,21,32,3.44,scattered clouds
25,Chokurdakh,RU,70.6333,147.9167,-3.51,92,96,3.62,overcast clouds
26,Ellsworth,US,44.5434,-68.4195,39.29,71,20,4.61,few clouds
27,Port Alfred,ZA,-33.5906,26.891,66.18,89,66,1.99,broken clouds
28,Tongchuan,CN,35.0806,109.0897,58.59,51,100,3.22,overcast clouds
29,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,77.43,65,100,9.6,overcast clouds
31,Castro,BR,-24.7911,-50.0119,63.57,96,89,5.41,overcast clouds
32,Ponta Do Sol,PT,32.6667,-17.1,60.71,61,100,13.98,overcast clouds
33,Briancon,FR,44.9,6.65,30.34,96,68,1.97,broken clouds
34,Ancud,CL,-41.8697,-73.8203,50.23,89,100,6.4,light rain
35,Bilibino,RU,68.0546,166.4372,5.85,71,4,3.29,clear sky
36,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,90,0,9.22,clear sky
37,Marawi,PH,7.9986,124.2928,75.74,80,100,3.42,overcast clouds
38,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,12.66,clear sky
39,Bethel,US,41.3712,-73.414,41.52,91,97,5.01,overcast clouds
40,Dombarovskiy,RU,50.7587,59.5386,38.79,75,100,12.57,overcast clouds
41,Samarai,PG,-10.6167,150.6667,82.76,74,88,10.74,overcast clouds
42,Haines Junction,CA,60.7522,-137.5108,37.35,48,100,4.61,overcast clouds
43,Albany,US,42.6001,-73.9662,38.03,90,100,1.01,light rain
44,Severo-Kurilsk,RU,50.6789,156.125,34.09,90,23,10.98,few clouds
45,Mataura,NZ,-46.1927,168.8643,65.12,50,5,0.74,clear sky
46,Quatre Cocos,MU,-20.2078,57.7625,79.09,85,36,13.02,light rain
47,Oistins,BB,13.0667,-59.5333,78.89,69,20,16.11,few clouds
48,Gallup,US,35.5281,-108.7426,64.24,19,0,10.36,clear sky
