City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Launceston,AU,2022-04-04 00:12:35,-41.45,147.1667,70.81,70,39,12.66
1,Isangel,VU,2022-04-04 00:12:35,-19.55,169.2667,84.67,72,100,10.71
2,Torbay,CA,2022-04-04 00:12:36,47.6666,-52.7314,36.57,86,44,5.99
3,Karratha,AU,2022-04-04 00:12:36,-20.7377,116.8463,82.35,65,1,9.57
4,Ushuaia,AR,2022-04-04 00:11:31,-54.8,-68.3,34.92,92,50,5.55
5,East London,ZA,2022-04-04 00:12:37,-33.0153,27.9116,68.54,87,50,7.56
6,Huarmey,PE,2022-04-04 00:12:37,-10.0681,-78.1522,70.2,84,18,8.7
7,Rikitea,PF,2022-04-04 00:11:10,-23.1203,-134.9692,76.95,67,59,10.16
8,Kapaa,US,2022-04-04 00:12:38,22.0752,-159.319,82.38,73,40,18.41
9,Hobart,AU,2022-04-04 00:12:38,-42.8794,147.3294,63.27,82,40,9.22
10,Thompson,CA,2022-04-04 00:12:38,55.7435,-97.8558,32.29,86,100,6.98
11,Havelock,US,2022-04-04 00:09:09,34.8791,-76.9013,67.98,34,3,11.41
12,Tuktoyaktuk,CA,2022-04-04 00:12:39,69.4541,-133.0374,-9.94,91,97,5.77
13,Busselton,AU,2022-04-04 00:12:39,-33.65,115.3333,63.7,73,67,15.03
14,Atbasar,KZ,2022-04-04 00:12:40,51.8,68.3333,31.87,84,93,6.2
15,Songjianghe,CN,2022-04-04 00:12:40,42.1859,127.479,45.1,41,1,11.34
16,Akdepe,TM,2022-04-04 00:12:41,42.0551,59.3788,64.87,21,0,11.95
17,Kodiak,US,2022-04-04 00:12:41,57.79,-152.4072,36.91,87,100,9.22
18,Cape Town,ZA,2022-04-04 00:09:52,-33.9258,18.4232,62.11,84,30,5.99
19,Harper,LR,2022-04-04 00:12:41,4.375,-7.7169,80.24,83,100,9.53
20,Timmins,CA,2022-04-04 00:07:47,48.4669,-81.3331,32.5,100,100,2.91
21,Albany,US,2022-04-04 00:11:58,42.6001,-73.9662,38.03,90,100,1.99
22,Touros,BR,2022-04-04 00:12:42,-5.1989,-35.4608,77.41,89,99,8.99
23,Pietarsaari,FI,2022-04-04 00:12:42,63.65,22.6833,24.01,83,100,6.85
24,Poum,NC,2022-04-04 00:12:43,-20.2333,164.0167,81.97,83,100,20.07
25,Macia,MZ,2022-04-04 00:12:43,-25.0269,33.0989,73.45,62,16,9.22
26,Provideniya,RU,2022-04-04 00:11:06,64.3833,-173.3,12.31,62,0,18.01
27,Carnarvon,AU,2022-04-04 00:12:44,-24.8667,113.6333,76.69,81,4,11.5
28,Victor Harbor,AU,2022-04-04 00:12:44,-35.5667,138.6167,63.91,68,17,3.31
29,Kanata,CA,2022-04-04 00:12:44,45.3159,-75.8985,39.34,83,100,8.05
30,Mataura,NZ,2022-04-04 00:12:45,-46.1927,168.8643,62.65,56,72,1.34
31,Ponta Do Sol,PT,2022-04-04 00:12:45,32.6667,-17.1,61.43,67,100,14.94
32,Auki,SB,2022-04-04 00:12:45,-8.7676,160.7034,78.37,88,100,5.53
33,La Ronge,CA,2022-04-04 00:12:46,55.1001,-105.2842,34.74,97,67,4.97
34,Puerto Ayora,EC,2022-04-04 00:11:16,-0.7393,-90.3518,76.55,95,80,8.99
35,Kapitanivka,UA,2022-04-04 00:12:46,48.9172,31.7167,33.55,78,100,12.82
36,Upernavik,GL,2022-04-04 00:12:47,72.7868,-56.1549,16.02,82,90,4.16
37,Qaanaaq,GL,2022-04-04 00:12:47,77.484,-69.3632,11.21,68,60,7.74
38,Imbituba,BR,2022-04-04 00:12:47,-28.24,-48.6703,73.81,93,100,13.85
39,Vrangel,RU,2022-04-04 00:12:48,42.7297,133.0839,41.68,87,3,2.44
40,Mazamari,PE,2022-04-04 00:12:48,-11.3258,-74.5308,72.28,91,81,1.1
41,Grindavik,IS,2022-04-04 00:12:49,63.8424,-22.4338,37.87,100,75,4.61
42,Erenhot,CN,2022-04-04 00:12:49,43.6475,111.9767,44.56,26,59,9.22
43,Susuman,RU,2022-04-04 00:12:49,62.7833,148.1667,-0.92,91,90,2.46
44,Lokoja,NG,2022-04-04 00:12:50,7.8024,6.743,83.25,65,98,8.32
45,Cabo San Lucas,MX,2022-04-04 00:12:50,22.8909,-109.9124,75.61,70,50,14.54
46,Laela,TZ,2022-04-04 00:12:51,-8.5667,32.05,59.72,93,88,2.48
47,Abu Dhabi,AE,2022-04-04 00:09:15,24.4667,54.3667,72.97,92,31,1.14
48,Nikolskoye,RU,2022-04-04 00:13:51,59.7035,30.7861,28.8,94,49,3.85
49,Hofn,IS,2022-04-04 00:13:52,64.2539,-15.2082,34.93,77,100,17.22
50,Sisimiut,GL,2022-04-04 00:13:52,66.9395,-53.6735,28.31,80,11,8.23
51,Beyneu,KZ,2022-04-04 00:13:53,45.3167,55.2,61.72,49,99,12.41
52,Khatanga,RU,2022-04-04 00:13:12,71.9667,102.5,-29.33,100,98,1.86
53,Port Alfred,ZA,2022-04-04 00:11:16,-33.5906,26.891,66.18,90,92,1.99
54,Clyde River,CA,2022-04-04 00:13:53,70.4692,-68.5914,6.6,96,81,4.59
55,Mugan,CN,2022-04-04 00:13:54,35.9404,101.3842,40.3,45,99,3.22
56,Katsuura,JP,2022-04-04 00:09:17,35.1333,140.3,50.02,89,100,14.14
57,San Patricio,US,2022-04-04 00:13:54,28.017,-97.5169,79.18,64,0,14.52
58,Castro,BR,2022-04-04 00:13:55,-24.7911,-50.0119,62.96,95,84,5.01
59,Aktash,RU,2022-04-04 00:12:12,50.3,87.7333,14.0,88,43,4.38
60,Punta Arenas,CL,2022-04-04 00:11:12,-53.15,-70.9167,41.11,81,40,4.61
61,Mayo,US,2022-04-04 00:13:56,38.8876,-76.5119,48.94,49,40,16.11
62,Batticaloa,LK,2022-04-04 00:13:56,7.7102,81.6924,77.88,83,4,4.05
63,Vao,NC,2022-04-04 00:13:56,-22.6667,167.4833,79.23,87,45,16.6
64,Salalah,OM,2022-04-04 00:13:57,17.0151,54.0924,75.29,60,0,3.44
65,Port Macquarie,AU,2022-04-04 00:13:57,-31.4333,152.9167,73.89,62,77,4.21
66,Puerto Del Rosario,ES,2022-04-04 00:13:58,28.5004,-13.8627,60.55,88,20,12.66
67,Chiang Klang,TH,2022-04-04 00:13:58,19.2938,100.8617,68.38,75,24,1.03
68,Troitskoye,RU,2022-04-04 00:13:59,52.9821,84.6757,32.29,93,97,4.97
69,Barrow,US,2022-04-04 00:13:59,71.2906,-156.7887,-5.78,77,0,14.97
70,Saldanha,ZA,2022-04-04 00:13:59,-33.0117,17.9442,59.56,89,0,9.06
71,Klaksvik,FO,2022-04-04 00:13:11,62.2266,-6.589,43.72,97,100,19.39
72,Hithadhoo,MV,2022-04-04 00:11:19,-0.6,73.0833,82.69,69,25,5.08
73,Naples,IT,2022-04-04 00:10:17,40.8333,14.25,48.78,80,40,3.44
74,Pampas,PE,2022-04-04 00:14:00,-12.4,-74.9,49.75,97,90,4.85
75,Bluff,NZ,2022-04-04 00:12:45,-46.6,168.3333,58.3,70,79,9.64
76,Fairview,US,2022-04-04 00:14:01,40.8126,-73.999,45.63,73,75,16.11
77,Teya,RU,2022-04-04 00:14:01,60.3778,92.6267,3.85,99,79,3.53
78,Gezing,AT,2022-04-04 00:14:01,47.9178,13.1299,30.45,80,75,1.14
79,Severo-Kurilsk,RU,2022-04-04 00:14:02,50.6789,156.125,34.03,90,23,9.98
80,Sibiti,CG,2022-04-04 00:14:02,-3.6819,13.3499,70.05,97,73,0.34
